2025-10-29 16:48:55.103 | INFO     | main:main:46 | data in file: []
2025-10-29 16:48:55.103 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 16:48:55.104 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:48:55.106 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:48:55.107 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 16:48:55.107 | INFO     | main:main:62 | Bucket details: %s
2025-10-29 16:48:55.107 | INFO     | main:main:72 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 16:48:56.322 | INFO     | aws_read:list_files:11 | Total files available in folder '%s' of bucket '%s': %s
2025-10-29 16:48:56.322 | INFO     | main:main:83 | Absolute path on s3 bucket for csv file %s 
2025-10-29 16:48:56.323 | WARNING  | main:main:86 | No files available at sales_data/
2025-10-29 16:48:56.324 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 16:49:25.964 | INFO     | main:main:22 | List of Buckets: %s
2025-10-29 16:49:25.966 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:49:25.968 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:49:25.977 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:49:25.978 | INFO     | main:main:44 | Query unprocessed file: %s
2025-10-29 16:49:25.978 | INFO     | main:main:46 | data in file: []
2025-10-29 16:49:25.978 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 16:49:25.979 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:49:25.982 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:49:25.982 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 16:49:25.982 | INFO     | main:main:62 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-29 16:49:25.982 | INFO     | main:main:72 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 16:49:27.160 | INFO     | aws_read:list_files:11 | Total files available in folder '%s' of bucket '%s': %s
2025-10-29 16:49:27.160 | INFO     | main:main:83 | Absolute path on s3 bucket for csv file %s 
2025-10-29 16:49:27.161 | WARNING  | main:main:86 | No files available at sales_data/
2025-10-29 16:49:27.161 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 16:55:35.183 | INFO     | main:main:22 | List of Buckets: [{'Name': 'cf-templates-18q59xtalocg0-eu-north-1', 'CreationDate': datetime.datetime(2025, 6, 19, 9, 48, 28, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-eu-north-1'}, {'Name': 'cf-templates-18q59xtalocg0-us-east-1', 'CreationDate': datetime.datetime(2025, 6, 19, 10, 3, 16, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-us-east-1'}, {'Name': 'nitesh-staticwebsitehosting', 'CreationDate': datetime.datetime(2025, 5, 13, 8, 50, 37, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::nitesh-staticwebsitehosting'}, {'Name': 'niteshdmc-trail-log-bucket', 'CreationDate': datetime.datetime(2025, 5, 12, 9, 21, 22, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::niteshdmc-trail-log-bucket'}, {'Name': 'relmart-sales-project', 'CreationDate': datetime.datetime(2025, 10, 28, 11, 20, 46, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::relmart-sales-project'}]
2025-10-29 16:55:35.185 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:55:35.187 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:55:35.196 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:55:35.196 | ERROR    | logging_config:log_exception:61 | Unhandled exception:
NoneType: None
2025-10-29 16:57:42.812 | INFO     | main:main:22 | List of Buckets: [{'Name': 'cf-templates-18q59xtalocg0-eu-north-1', 'CreationDate': datetime.datetime(2025, 6, 19, 9, 48, 28, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-eu-north-1'}, {'Name': 'cf-templates-18q59xtalocg0-us-east-1', 'CreationDate': datetime.datetime(2025, 6, 19, 10, 3, 16, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-us-east-1'}, {'Name': 'nitesh-staticwebsitehosting', 'CreationDate': datetime.datetime(2025, 5, 13, 8, 50, 37, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::nitesh-staticwebsitehosting'}, {'Name': 'niteshdmc-trail-log-bucket', 'CreationDate': datetime.datetime(2025, 5, 12, 9, 21, 22, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::niteshdmc-trail-log-bucket'}, {'Name': 'relmart-sales-project', 'CreationDate': datetime.datetime(2025, 10, 28, 11, 20, 46, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::relmart-sales-project'}]
2025-10-29 16:57:42.814 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:57:42.817 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:57:42.827 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:58:01.387 | INFO     | main:main:22 | List of Buckets: [{'Name': 'cf-templates-18q59xtalocg0-eu-north-1', 'CreationDate': datetime.datetime(2025, 6, 19, 9, 48, 28, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-eu-north-1'}, {'Name': 'cf-templates-18q59xtalocg0-us-east-1', 'CreationDate': datetime.datetime(2025, 6, 19, 10, 3, 16, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-us-east-1'}, {'Name': 'nitesh-staticwebsitehosting', 'CreationDate': datetime.datetime(2025, 5, 13, 8, 50, 37, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::nitesh-staticwebsitehosting'}, {'Name': 'niteshdmc-trail-log-bucket', 'CreationDate': datetime.datetime(2025, 5, 12, 9, 21, 22, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::niteshdmc-trail-log-bucket'}, {'Name': 'relmart-sales-project', 'CreationDate': datetime.datetime(2025, 10, 28, 11, 20, 46, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::relmart-sales-project'}]
2025-10-29 16:58:01.389 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:58:01.389 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:58:01.397 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:58:01.398 | INFO     | main:main:44 | Query unprocessed file:  select distinct file_name from
                                 relmart_db.product_staging_table
                                 where file_name in (%s) AND status = 'I' 
2025-10-29 16:58:01.398 | INFO     | main:main:46 | data in file: []
2025-10-29 16:58:01.398 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 16:58:01.399 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:58:01.402 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:58:01.402 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 16:58:01.403 | INFO     | main:main:62 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-29 16:58:01.403 | INFO     | main:main:71 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 16:58:02.616 | INFO     | aws_read:list_files:11 | Total files available in folder '%s' of bucket '%s': %s
2025-10-29 16:58:02.616 | INFO     | main:main:82 | Absolute path on s3 bucket for csv file: []
2025-10-29 16:58:02.616 | WARNING  | main:main:85 | No files available at sales_data/
2025-10-29 16:58:02.616 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 17:02:11.715 | INFO     | main:main:22 | List of Buckets: [{'Name': 'cf-templates-18q59xtalocg0-eu-north-1', 'CreationDate': datetime.datetime(2025, 6, 19, 9, 48, 28, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-eu-north-1'}, {'Name': 'cf-templates-18q59xtalocg0-us-east-1', 'CreationDate': datetime.datetime(2025, 6, 19, 10, 3, 16, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-us-east-1'}, {'Name': 'nitesh-staticwebsitehosting', 'CreationDate': datetime.datetime(2025, 5, 13, 8, 50, 37, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::nitesh-staticwebsitehosting'}, {'Name': 'niteshdmc-trail-log-bucket', 'CreationDate': datetime.datetime(2025, 5, 12, 9, 21, 22, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::niteshdmc-trail-log-bucket'}, {'Name': 'relmart-sales-project', 'CreationDate': datetime.datetime(2025, 10, 28, 11, 20, 46, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::relmart-sales-project'}]
2025-10-29 17:02:11.717 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 17:02:11.719 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 17:02:11.729 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 17:02:11.730 | INFO     | main:main:44 | Query unprocessed file:  select distinct file_name from
                                 relmart_db.product_staging_table
                                 where file_name in (%s) AND status = 'I' 
2025-10-29 17:02:11.730 | INFO     | main:main:46 | data in file: []
2025-10-29 17:02:11.730 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 17:02:11.730 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 17:02:11.734 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 17:02:11.734 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 17:02:11.734 | INFO     | main:main:62 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-29 17:02:11.734 | INFO     | main:main:71 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 17:02:12.931 | INFO     | aws_read:list_files:11 | Total files available in folder sales_data/ of bucket relmart-sales-project: {'ResponseMetadata': {'RequestId': 'GVWWRW9TPF93C5VT', 'HostId': 'i4CDy6azMJxainFJqd3DU1t3pgE68jbm3KtzI7CYzN0KCKhHUigioANaln+oeOYAIbbuwbG7tPU=', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amz-id-2': 'i4CDy6azMJxainFJqd3DU1t3pgE68jbm3KtzI7CYzN0KCKhHUigioANaln+oeOYAIbbuwbG7tPU=', 'x-amz-request-id': 'GVWWRW9TPF93C5VT', 'date': 'Wed, 29 Oct 2025 11:32:13 GMT', 'x-amz-bucket-region': 'us-east-1', 'content-type': 'application/xml', 'transfer-encoding': 'chunked', 'server': 'AmazonS3'}, 'RetryAttempts': 0}, 'IsTruncated': False, 'Contents': [{'Key': 'sales_data/', 'LastModified': datetime.datetime(2025, 10, 29, 10, 37, 6, tzinfo=tzutc()), 'ETag': '"d41d8cd98f00b204e9800998ecf8427e"', 'ChecksumAlgorithm': ['CRC64NVME'], 'ChecksumType': 'FULL_OBJECT', 'Size': 0, 'StorageClass': 'STANDARD'}], 'Name': 'relmart-sales-project', 'Prefix': 'sales_data/', 'MaxKeys': 1000, 'EncodingType': 'url', 'KeyCount': 1}
2025-10-29 17:02:12.931 | INFO     | main:main:82 | Absolute path on s3 bucket for csv file: []
2025-10-29 17:02:12.931 | WARNING  | main:main:85 | No files available at sales_data/
2025-10-29 17:02:12.932 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 17:09:10.707 | INFO     | main:main:22 | List of Buckets: [{'Name': 'cf-templates-18q59xtalocg0-eu-north-1', 'CreationDate': datetime.datetime(2025, 6, 19, 9, 48, 28, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-eu-north-1'}, {'Name': 'cf-templates-18q59xtalocg0-us-east-1', 'CreationDate': datetime.datetime(2025, 6, 19, 10, 3, 16, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::cf-templates-18q59xtalocg0-us-east-1'}, {'Name': 'nitesh-staticwebsitehosting', 'CreationDate': datetime.datetime(2025, 5, 13, 8, 50, 37, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::nitesh-staticwebsitehosting'}, {'Name': 'niteshdmc-trail-log-bucket', 'CreationDate': datetime.datetime(2025, 5, 12, 9, 21, 22, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::niteshdmc-trail-log-bucket'}, {'Name': 'relmart-sales-project', 'CreationDate': datetime.datetime(2025, 10, 28, 11, 20, 46, tzinfo=tzutc()), 'BucketArn': 'arn:aws:s3:::relmart-sales-project'}]
2025-10-29 17:09:10.709 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 17:09:10.711 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 17:09:10.721 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 17:09:10.721 | INFO     | main:main:44 | Query unprocessed file:  select distinct file_name from
                                 relmart_db.product_staging_table
                                 where file_name in (%s) AND status = 'I' 
2025-10-29 17:09:10.721 | INFO     | main:main:46 | data in file: []
2025-10-29 17:09:10.721 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 17:09:10.722 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 17:09:10.725 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 17:09:10.725 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 17:09:10.725 | INFO     | main:main:62 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-29 17:09:10.725 | INFO     | main:main:71 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
